127.0.0.1 - - [05/Nov/2019:19:27:57 -0200] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:29:56 -0200] "GET /coldigoGeladeiras/ HTTP/1.1" 200 1559
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:29:56 -0200] "GET /coldigoGeladeiras/css/style.css HTTP/1.1" 200 2408
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:29:56 -0200] "GET /coldigoGeladeiras/js/site.js HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:29:56 -0200] "GET /coldigoGeladeiras/imgs/geladeira1.png HTTP/1.1" 200 21198
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:29:56 -0200] "GET /coldigoGeladeiras/imgs/geladeira2.png HTTP/1.1" 200 18537
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:29:56 -0200] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:29:56 -0200] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:29:56 -0200] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:30:05 -0200] "GET /coldigoGeladeiras/ HTTP/1.1" 200 1559
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:30:05 -0200] "GET /coldigoGeladeiras/css/style.css HTTP/1.1" 200 2408
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:30:05 -0200] "GET /coldigoGeladeiras/js/site.js HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:30:05 -0200] "GET /coldigoGeladeiras/imgs/geladeira1.png HTTP/1.1" 200 21198
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:30:05 -0200] "GET /coldigoGeladeiras/imgs/geladeira2.png HTTP/1.1" 200 18537
